,,,,,,
n     ,length ,noise.var ,mse          ,mean      ,method ,source            
16000,1332,0.002,0.0003023883,0.499495,1,res.tmp.002.16000
16000,1325,0.002,0.1986264,0.06045,2,res.tmp.002.16000
16000,1333,0.002,1.661611E-05,0.4991696,3,res.tmp.002.16000
16000,1333,0.002,1.596132E-05,0.4993016,4,res.tmp.002.16000
8000,988,0.002,0.0007077139,0.4984945,1,res.tmp.002.8000
8000,984,0.002,0.2013713,0.05542047,2,res.tmp.002.8000
8000,990,0.002,3.16074E-05,0.499113,3,res.tmp.002.8000
8000,990,0.002,3.01712E-05,0.4994567,4,res.tmp.002.8000
4000,980,0.002,0.001520026,0.5005998,1,res.tmp.002.4000   
4000,988,0.002,0.1991095,0.05937658,2,res.tmp.002.4000   
4000,994,0.002,5.941499E-05,0.4994799,3,res.tmp.002.4000   
4000,994,0.002,6.858231E-05,0.4993841,4,res.tmp.002.4000   
2000,1947,0.002,0.00331956,0.4954817,1,res.tmp.002.2000
2000,1968,0.002,0.1983115,0.05994564,2,res.tmp.002.2000
2000,1983,0.002,0.0001326969,0.4987897,3,res.tmp.002.2000
2000,1983,0.002,0.0001307713,0.4992047,4,res.tmp.002.2000
,,,,,,
,,,,,,
,,,,,,
