source,target,date_followed
139,142,2007-03-12 04:01:14
142,139,2007-03-12 04:01:14
142,156,2007-03-12 04:36:11
156,142,2007-03-12 04:36:11
142,167,2007-03-12 04:36:23
167,142,2007-03-12 04:36:23
142,157,2007-03-12 04:36:33
157,142,2007-03-12 04:36:33
142,141,2007-03-12 04:36:51
141,142,2007-03-12 04:36:51
139,190,2007-03-12 13:44:52
139,167,2007-03-12 13:52:56
167,139,2007-03-12 13:52:56
139,156,2007-03-12 13:53:08
156,139,2007-03-12 13:53:08
139,141,2007-03-12 13:53:18
141,139,2007-03-12 13:53:18
142,164,2007-03-12 16:52:22
164,142,2007-03-12 16:52:22
142,169,2007-03-12 16:53:01
169,142,2007-03-12 16:53:01
142,163,2007-03-12 16:54:23
163,142,2007-03-12 16:54:23
288,290,2007-03-12 19:26:09
290,288,2007-03-12 19:26:09
290,292,2007-03-12 19:28:26
288,289,2007-03-12 19:28:31
289,288,2007-03-12 19:28:31
288,291,2007-03-12 19:28:41
291,288,2007-03-12 19:28:41
290,273,2007-03-12 19:29:14
273,290,2007-03-12 19:29:14
288,293,2007-03-12 19:29:36
293,288,2007-03-12 19:29:36
288,294,2007-03-12 19:29:52
294,288,2007-03-12 19:29:52
290,294,2007-03-12 19:31:08
294,290,2007-03-12 19:31:08
293,291,2007-03-12 19:34:39
291,293,2007-03-12 19:34:39
293,294,2007-03-12 19:35:32
294,293,2007-03-12 19:35:32
290,289,2007-03-12 19:35:53
289,290,2007-03-12 19:35:53
293,292,2007-03-12 19:36:09
293,289,2007-03-12 19:36:25
289,293,2007-03-12 19:36:25
288,295,2007-03-12 19:36:50
295,288,2007-03-12 19:36:50
288,296,2007-03-12 19:36:57
296,288,2007-03-12 19:36:57
294,292,2007-03-12 19:37:03
288,297,2007-03-12 19:37:05
297,288,2007-03-12 19:37:05
273,292,2007-03-12 19:37:35
295,289,2007-03-12 19:37:47
289,295,2007-03-12 19:37:47
288,298,2007-03-12 19:37:52
298,288,2007-03-12 19:37:52
295,293,2007-03-12 19:37:55
293,295,2007-03-12 19:37:55
295,291,2007-03-12 19:38:02
291,295,2007-03-12 19:38:02
288,273,2007-03-12 19:38:09
273,288,2007-03-12 19:38:09
295,294,2007-03-12 19:38:13
294,295,2007-03-12 19:38:13
295,292,2007-03-12 19:38:22
290,298,2007-03-12 19:38:28
298,290,2007-03-12 19:38:28
298,292,2007-03-12 19:38:30
295,273,2007-03-12 19:38:30
273,295,2007-03-12 19:38:30
297,292,2007-03-12 19:38:42
288,299,2007-03-12 19:38:44
299,288,2007-03-12 19:38:44
298,299,2007-03-12 19:38:49
299,298,2007-03-12 19:38:49
290,297,2007-03-12 19:38:51
297,290,2007-03-12 19:38:51
290,299,2007-03-12 19:39:12
