"","source","target","date_followed","year","month","day"
"1",139,142,"2007-03-12 04:01:14","2007","03","12"
"2",142,139,"2007-03-12 04:01:14","2007","03","12"
"3",142,156,"2007-03-12 04:36:11","2007","03","12"
"4",156,142,"2007-03-12 04:36:11","2007","03","12"
"5",142,167,"2007-03-12 04:36:23","2007","03","12"
"6",167,142,"2007-03-12 04:36:23","2007","03","12"
"7",142,157,"2007-03-12 04:36:33","2007","03","12"
"8",157,142,"2007-03-12 04:36:33","2007","03","12"
"9",142,141,"2007-03-12 04:36:51","2007","03","12"
"10",141,142,"2007-03-12 04:36:51","2007","03","12"
"11",139,190,"2007-03-12 13:44:52","2007","03","12"
"12",139,167,"2007-03-12 13:52:56","2007","03","12"
"13",167,139,"2007-03-12 13:52:56","2007","03","12"
"14",139,156,"2007-03-12 13:53:08","2007","03","12"
"15",156,139,"2007-03-12 13:53:08","2007","03","12"
"16",139,141,"2007-03-12 13:53:18","2007","03","12"
"17",141,139,"2007-03-12 13:53:18","2007","03","12"
"18",142,164,"2007-03-12 16:52:22","2007","03","12"
"19",164,142,"2007-03-12 16:52:22","2007","03","12"
"20",142,169,"2007-03-12 16:53:01","2007","03","12"
"21",169,142,"2007-03-12 16:53:01","2007","03","12"
"22",142,163,"2007-03-12 16:54:23","2007","03","12"
"23",163,142,"2007-03-12 16:54:23","2007","03","12"
"24",288,290,"2007-03-12 19:26:09","2007","03","12"
"25",290,288,"2007-03-12 19:26:09","2007","03","12"
"26",290,292,"2007-03-12 19:28:26","2007","03","12"
"27",288,289,"2007-03-12 19:28:31","2007","03","12"
"28",289,288,"2007-03-12 19:28:31","2007","03","12"
"29",288,291,"2007-03-12 19:28:41","2007","03","12"
"30",291,288,"2007-03-12 19:28:41","2007","03","12"
"31",290,273,"2007-03-12 19:29:14","2007","03","12"
"32",273,290,"2007-03-12 19:29:14","2007","03","12"
"33",288,293,"2007-03-12 19:29:36","2007","03","12"
"34",293,288,"2007-03-12 19:29:36","2007","03","12"
"35",288,294,"2007-03-12 19:29:52","2007","03","12"
"36",294,288,"2007-03-12 19:29:52","2007","03","12"
"37",290,294,"2007-03-12 19:31:08","2007","03","12"
"38",294,290,"2007-03-12 19:31:08","2007","03","12"
"39",293,291,"2007-03-12 19:34:39","2007","03","12"
"40",291,293,"2007-03-12 19:34:39","2007","03","12"
"41",293,294,"2007-03-12 19:35:32","2007","03","12"
"42",294,293,"2007-03-12 19:35:32","2007","03","12"
"43",290,289,"2007-03-12 19:35:53","2007","03","12"
"44",289,290,"2007-03-12 19:35:53","2007","03","12"
"45",293,292,"2007-03-12 19:36:09","2007","03","12"
"46",293,289,"2007-03-12 19:36:25","2007","03","12"
"47",289,293,"2007-03-12 19:36:25","2007","03","12"
"48",288,295,"2007-03-12 19:36:50","2007","03","12"
"49",295,288,"2007-03-12 19:36:50","2007","03","12"
"50",288,296,"2007-03-12 19:36:57","2007","03","12"
"51",296,288,"2007-03-12 19:36:57","2007","03","12"
"52",294,292,"2007-03-12 19:37:03","2007","03","12"
"53",288,297,"2007-03-12 19:37:05","2007","03","12"
"54",297,288,"2007-03-12 19:37:05","2007","03","12"
"55",273,292,"2007-03-12 19:37:35","2007","03","12"
"56",295,289,"2007-03-12 19:37:47","2007","03","12"
"57",289,295,"2007-03-12 19:37:47","2007","03","12"
"58",288,298,"2007-03-12 19:37:52","2007","03","12"
"59",298,288,"2007-03-12 19:37:52","2007","03","12"
"60",295,293,"2007-03-12 19:37:55","2007","03","12"
"61",293,295,"2007-03-12 19:37:55","2007","03","12"
"62",295,291,"2007-03-12 19:38:02","2007","03","12"
"63",291,295,"2007-03-12 19:38:02","2007","03","12"
"64",288,273,"2007-03-12 19:38:09","2007","03","12"
