follower_user_id,follower_project_count,followed_user_id,followed_project_count,date_followed
707349,58,459076,11,5/11/11 20:20
1239705,2,1124263,57,3/10/12 15:27
574209,30,145745,2683,11/3/10 2:04
1136178,7,1180735,0,2/7/12 1:46
109771,5,112567,3,6/17/08 11:26
75021,3,85493,6,4/3/08 16:16
51622,11,428578,2355,8/29/10 23:25
404390,829,586060,13,8/21/10 18:33
621707,7,629336,93,1/14/11 18:18
696034,15,687341,419,2/24/11 0:03
410421,47,587331,0,2/21/11 19:46
139002,1,142251,284,8/31/08 2:16
337115,73,53410,144,2/27/11 15:17
1185173,0,1185195,0,2/9/12 10:47
190327,1,102967,115,11/15/08 21:19
136711,0,108999,121,7/25/08 16:36
254124,152,308030,0,7/29/09 1:34
552222,30,457357,3,6/15/10 18:11
341247,240,533972,73,9/12/10 23:36
984321,1,995779,1,10/18/11 18:35
201944,30,160574,3,2/25/09 6:49
207985,594,117885,78,7/16/09 13:01
325286,2,67046,372,8/28/09 21:42
72275,474,90839,27,6/26/08 17:43
638784,2,370336,53,10/21/10 13:38
185048,5,184380,0,11/19/08 7:35
155283,32,486266,0,4/17/10 1:13
461840,462,688772,13,7/12/11 16:42
614167,159,782372,245,10/14/11 21:32
1165051,3,803457,62,1/28/12 1:57
453119,255,355267,61,6/18/10 15:47
148095,60,150910,262,8/22/08 14:46
482752,80,565744,17,7/16/10 20:04
443484,454,606457,444,5/30/11 19:28
39126,1170,363340,29,7/10/10 15:30
1181132,0,1181141,1,2/7/12 9:37
1020494,12,233229,25,10/28/11 19:20
497589,55,436138,236,8/26/11 3:06
382225,0,141740,207,10/24/09 21:20
549307,316,332517,168,8/28/10 23:02
419468,13,581139,4,7/16/10 12:08
860577,21,966767,14,9/26/11 16:32
998048,1,780924,1,10/13/11 5:02
464235,55,692100,36,5/2/11 21:05
701073,4,593641,658,1/15/11 20:00
151499,9,94333,301,8/26/08 15:34
764887,57,569374,14,5/4/11 20:35
677277,73,34286,955,12/11/10 13:02
637882,145,422545,1688,1/21/11 3:10
1073121,16,904065,162,12/5/11 18:29
212362,0,66027,309,1/5/09 13:09
131130,1,69351,106,7/31/08 0:31
179406,193,17386,229,12/24/09 23:51
437661,719,653729,6,2/6/11 1:11
917343,54,801201,157,3/17/12 20:02
453118,57,453119,255,2/23/10 23:27
592082,26,183956,60,2/27/11 20:07
224302,0,90805,223,1/28/09 13:35
541901,0,239440,469,6/6/10 14:44
192817,3,193851,109,12/10/08 12:26
133741,436,711415,328,7/4/11 21:49
417944,12,118960,188,1/10/10 10:19
26014,4,25541,69,6/27/07 11:23
65394,1429,48442,205,2/17/09 2:05
256596,82,492132,3,4/19/10 18:43
575351,107,300203,270,11/24/10 15:57
181250,30,47942,8,12/22/09 2:37
405760,33,75435,115,1/25/10 12:20
1107184,11,689798,240,1/7/12 8:46
438165,436,430230,31,4/27/10 23:59
273918,242,7255,174,4/26/09 23:37
305007,2,151238,22,6/3/09 0:38
132812,66,151264,1,8/20/08 0:36
1138286,2,590173,118,1/13/12 21:10
1088230,0,1082131,11,2/15/12 14:44
939670,0,637536,2,9/6/11 11:54
90755,8,60698,83,3/16/08 3:42
1086430,1,913140,254,12/7/11 21:08
596471,60,319311,262,8/23/10 16:52
610464,1335,559356,476,10/23/10 1:08
963395,34,1004708,17,11/23/11 19:29
85629,462,111873,14,7/26/08 1:08
490001,156,430443,96,12/29/10 16:46
1224497,1,1217683,13,3/2/12 16:22
626944,37,78566,465,10/5/10 22:08
301212,0,302766,1,5/31/09 16:43
29215,27,11664,3831,7/11/07 15:09
356422,55,412816,3,12/12/09 1:43
731985,0,300203,270,3/8/11 21:49
83960,478,196534,81,10/15/09 20:03
26509,20,141,9933,6/29/07 8:37
675458,52,767176,315,6/1/11 22:36
686682,29,815431,96,10/1/11 16:18
596322,345,556861,252,1/16/11 17:22
850935,25,292011,35,8/26/11 23:41
